rank,title,domestic_gross,boxoffice_open,boxoffice_close,distributor,estimated,budget,wikipedia_title,wikidata_id,wikidata_title,wikidata_release_date,wikidata_box_office,wikidata_letterboxd_slug,letterboxd_avg,letterboxd_ratings,letterboxd_slug
1,Zootopia 2,428130160.0,Nov 26,-,Walt Disney Studios Motion Pictures,False,150000000.0,Zootopia 2,Q116764712,Zootopia 2,2025-11-28T00:00:00Z,1866647936.0,zootopia-2,3.68,1783073.0,film/zootopia-2
2,A Minecraft Movie,424087780.0,Apr 4,-,Warner Bros.,False,150000000.0,A Minecraft Movie,Q40083273,A Minecraft Movie,2025-04-05T00:00:00Z,,minecraft-2025,2.44,1503222.0,film/a-minecraft-movie
3,Lilo & Stitch,423778855.0,May 23,-,Walt Disney Studios Motion Pictures,False,100000000.0,Lilo & Stitch (2025 film),Q59395971,Lilo & Stitch,2025-05-23T00:00:00Z,1030541425.0,lilo-stitch-2025,3.01,595670.0,film/lilo-stitch-2025
4,Avatar: Fire and Ash,404340010.0,Dec 19,Apr 16,20th Century Studios,False,375000000.0,Avatar: Fire and Ash,Q29580929,Avatar: Fire and Ash,2025-12-19T00:00:00Z,,avatar-fire-and-ash,3.55,1471761.0,film/avatar-fire-and-ash
5,Superman,354223803.0,Jul 11,-,Warner Bros.,False,225000000.0,Superman (2025 film),Q116547790,Superman,2025-07-11T00:00:00Z,618723803.0,superman-2025,3.83,3110035.0,film/superman-2025
6,Wicked: For Good,342915090.0,Nov 17,Jan 30,Universal Pictures,False,150000000.0,Wicked: For Good,Q114817050,Wicked: For Good,2025-11-21T00:00:00Z,,wicked-for-good,3.4,1298289.0,film/wicked-for-good
7,Jurassic World: Rebirth,339640400.0,Jul 2,-,Universal Pictures,False,217000000.0,Jurassic World Rebirth,Q124380480,Jurassic World Rebirth,2025-07-03T00:00:00Z,,jurassic-world-rebirth,2.6,1110427.0,film/jurassic-world-rebirth
8,Sinners,279989632.0,Apr 18,Jul 18,Warner Bros.,False,95000000.0,Sinners (2025 film),Q125473145,Sinners,2025-04-18T00:00:00Z,,sinners-2025,4.1,4496230.0,film/sinners-2025
9,The Fantastic Four: First Steps,274286610.0,Jul 25,-,Walt Disney Studios Motion Pictures,False,229600000.0,The Fantastic Four: First Steps,Q105105219,The Fantastic Four: First Steps,2025-07-25T00:00:00Z,,the-fantastic-four-first-steps,3.34,2104111.0,film/the-fantastic-four-first-steps
10,How to Train Your Dragon,262958100.0,Jun 13,-,Universal Pictures,False,150000000.0,How to Train Your Dragon (2025 film),Q118904382,How to Train Your Dragon,2025-09-05T00:00:00Z,371482710.0,how-to-train-your-dragon-2025,3.82,1085392.0,film/how-to-train-your-dragon-2025
11,Captain America: Brave New World,200500001.0,Feb 14,May 22,Walt Disney Studios Motion Pictures,False,180000000.0,Captain America: Brave New World,Q112322116,Captain America: Brave New World,2025-02-14T00:00:00Z,,captain-america-brave-new-world,2.39,868736.0,film/captain-america-brave-new-world
12,Mission: Impossible - The Final Reckoning,197413515.0,May 23,Aug 14,Paramount Pictures,False,350000000.0,Mission: Impossible – The Final Reckoning,Q61876374,Mission: Impossible – The Final Reckoning,2025-05-23T00:00:00Z,,mission-impossible-the-final-reckoning,3.45,775821.0,film/mission-impossible-the-final-reckoning
13,Thunderbolts*,190274328.0,May 2,-,Walt Disney Studios Motion Pictures,False,180000000.0,Thunderbolts*,Q112322474,Thunderbolts*,2025-05-02T00:00:00Z,,thunderbolts,3.56,1854048.0,film/thunderbolts
14,F1: The Movie,189642436.0,Jun 27,-,Warner Bros.,False,250000000.0,F1 (film),Q114246242,F1,2025-06-27T00:00:00Z,,f1,3.64,1922247.0,film/f1-the-movie
15,The Conjuring: Last Rites,177756445.0,Sep 5,-,Warner Bros.,False,55000000.0,The Conjuring: Last Rites,Q114802043,The Conjuring: Last Rites,2025-09-05T00:00:00Z,460164908.0,the-conjuring-last-rites,2.78,933840.0,film/the-conjuring-last-rites
16,Weapons,151572492.0,Aug 8,-,Warner Bros.,False,38000000.0,Weapons (2025 film),Q126487478,Weapons,2025-08-08T00:00:00Z,,weapons-2025,3.6,3010453.0,film/weapons-2025
17,Final Destination: Bloodlines,138254739.0,May 16,Jul 24,Warner Bros.,False,50000000.0,Final Destination Bloodlines,Q118212751,Final Destination Bloodlines,2025-05-16T00:00:00Z,,final-destination-bloodlines,3.21,1181823.0,film/final-destination-bloodlines
18,Demon Slayer: Kimetsu No Yaiba Infinity Castle,136950340.0,Sep 12,Jan 8,Sony Pictures Releasing,False,20000000.0,Demon Slayer: Kimetsu no Yaiba – The Movie: Infinity Castle,Q126948105,Demon Slayer: Kimetsu no Yaiba – Infinity Castle,2025-09-12T00:00:00Z,,demon-slayer-kimetsu-no-yaiba-infinity-castle,4.04,455195.0,film/demon-slayer-kimetsu-no-yaiba-infinity-castle
19,Five Nights at Freddy's 2,127730290.0,Dec 5,Jan 30,Universal Pictures,False,43500000.0,Five Nights at Freddy's 2 (film),Q124216482,Five Nights at Freddy's 2,2025-12-05T00:00:00Z,,five-nights-at-freddys-2,2.55,798655.0,film/five-nights-at-freddys-2
20,The Housemaid,126432462.0,Dec 19,-,Lionsgate,False,35000000.0,The Housemaid (2025 film),Q131630491,The Housemaid,2025-12-25T00:00:00Z,,the-housemaid-2025,3.03,1479043.0,film/the-housemaid-2025
21,Dog Man,97970355.0,Jan 31,-,Universal Pictures,False,40000000.0,Dog Man (film),Q124464619,Dog Man,2025-04-10T00:00:00Z,,dog-man,3.25,95250.0,film/dog-man
22,Marty Supreme,96040064.0,Dec 19,-,A24,False,65000000.0,Marty Supreme,Q130118681,Marty Supreme,2025-12-25T00:00:00Z,28000000.0,marty-supreme,4.05,2809976.0,film/marty-supreme
23,Freakier Friday,94186236.0,Aug 8,-,Walt Disney Studios Motion Pictures,False,45000000.0,Freakier Friday,Q126897811,Freakier Friday,2025-08-08T00:00:00Z,,freaky-friday-2,3.08,455193.0,film/freakier-friday
24,Predator: Badlands,91083631.0,Nov 7,Jan 15,20th Century Studios,False,105000000.0,Predator: Badlands,Q126396314,Predator: Badlands,2025-11-07T00:00:00Z,,predator-badlands,3.49,502296.0,film/predator-badlands
25,Snow White,87203963.0,Mar 21,Jun 5,Walt Disney Studios Motion Pictures,False,336500000.0,Snow White (2025 film),Q27660145,Snow White,2025-03-21T00:00:00Z,,snow-white-2025,1.73,315759.0,film/snow-white-2025
26,The Bad Guys 2,82593605.0,Aug 1,Nov 13,Universal Pictures,False,80000000.0,The Bad Guys 2,Q125363929,The Bad Guys 2,2025-08-01T00:00:00Z,,the-bad-guys-2,3.52,150201.0,film/the-bad-guys-2
27,David,80382774.0,Dec 19,-,Angel,False,60900000.0,David (2025 film),Q136565787,David,2025-12-19T00:00:00Z,,david-2025,3.16,14069.0,film/david-2025
28,Black Phone 2,77378880.0,Oct 17,-,Universal Pictures,False,30000000.0,Black Phone 2,Q124435493,Black Phone 2,2025-10-23T00:00:00Z,128000000.0,black-phone-2,3.06,579717.0,film/black-phone-2
29,Tron: Ares,73161014.0,Oct 10,Dec 4,Walt Disney Studios Motion Pictures,False,200000000.0,Tron: Ares,Q120237363,Tron: Ares,2025-10-10T00:00:00Z,,tron-ares,2.59,312639.0,film/tron-ares
30,Elio,72987454.0,Jun 20,Sep 11,Walt Disney Studios Motion Pictures,False,150000000.0,Elio (film),Q113879962,Elio,2025-06-25T00:00:00Z,,elio,3.31,294313.0,film/elio
31,One Battle After Another,72918884.0,Sep 26,-,Warner Bros.,False,152500000.0,One Battle After Another,Q117085614,One Battle After Another,2025-09-26T00:00:00Z,209586604.0,one-battle-after-another,4.14,2694643.0,film/one-battle-after-another
32,The SpongeBob Movie: Search for SquarePants,71068170.0,Dec 19,Feb 20,Paramount Pictures,False,64000000.0,The SpongeBob Movie: Search for SquarePants,Q118847776,The SpongeBob Movie: Search for SquarePants,2025-12-25T00:00:00Z,,the-spongebob-movie-search-for-squarepants,2.47,97990.0,film/the-spongebob-movie-search-for-squarepants
33,28 Years Later,70446897.0,Jun 20,-,Sony Pictures Releasing,False,60000000.0,28 Years Later,Q125392328,28 Years Later,2025-07-03T00:00:00Z,151200000.0,28-years-later,3.44,1322550.0,film/28-years-later
34,The Accountant 2,65523366.0,Apr 25,Jun 12,Amazon MGM Studios,False,80000000.0,The Accountant 2,Q124848369,The Accountant 2,2025-04-25T00:00:00Z,,the-accountant-2025,3.09,234326.0,film/the-accountant-2
35,Anaconda,65098148.0,Dec 25,Mar 20,Sony Pictures Releasing,False,45000000.0,Anaconda (2025 film),Q131549006,Anaconda,2025-12-25T00:00:00Z,,anaconda-2025,2.44,361535.0,film/anaconda-2025
36,Now You See Me: Now You Don't,61882396.0,Nov 14,-,Lionsgate,False,90000000.0,Now You See Me: Now You Don't,Q65146722,Now You See Me: Now You Don't,2025-11-28T00:00:00Z,,now-you-see-me-now-you-dont-2025,2.94,556625.0,film/now-you-see-me-now-you-dont-2025
37,The King of Kings,60270106.0,Apr 11,-,Angel,False,,The King of Kings (2025 film),,,,,,3.21,11320.0,film/the-king-of-kings-2025
38,Ballerina,58051327.0,Jun 6,Jul 24,Lionsgate,False,90000000.0,Ballerina (2025 film),Q84713105,Ballerina,2025-06-06T00:00:00Z,,ballerina-2025,3.27,509686.0,film/ballerina-2025
39,The Naked Gun,52647396.0,Aug 1,Sep 18,Paramount Pictures,False,42000000.0,The Naked Gun (2025 film),Q832047,The Naked Gun: From the Files of Police Squad!,2024-08-28T00:00:00Z,78756177.0,the-naked-gun-from-the-files-of-police-squad,3.27,620008.0,film/the-naked-gun
40,Karate Kid: Legends,52547391.0,May 30,Jul 10,Sony Pictures Releasing,False,45000000.0,Karate Kid: Legends,Q124246470,Karate Kid: Legends,2025-05-30T00:00:00Z,,karate-kid,2.78,211156.0,film/karate-kid-legends
41,One of Them Days,50054690.0,Jan 17,Apr 6,Sony Pictures Releasing,False,14000000.0,One of Them Days,Q130341202,One of Them Days,2025-03-31T00:00:00Z,,one-of-them-days,3.43,394144.0,film/one-of-them-days
42,Regretting You,48852948.0,Oct 24,-,Paramount Pictures,False,30000000.0,Regretting You,Q132816896,Regretting You,2025-12-04T00:00:00Z,,regretting-you,2.47,361785.0,film/regretting-you
43,Mickey 17,46142263.0,Mar 7,Apr 24,Warner Bros.,False,118000000.0,Mickey 17,Q112977213,Mickey 17,2025-04-18T00:00:00Z,,mickey-17,3.56,2232406.0,film/mickey-17
44,Paddington in Peru,45800000.0,Feb 14,-,Sony Pictures Releasing,False,82500000.0,Paddington in Peru,Q121076570,Paddington in Peru,2025-04-18T00:00:00Z,,paddington-in-peru,3.4,299926.0,film/paddington-in-peru
45,Downton Abbey: The Grand Finale,44996590.0,Sep 12,-,Focus Features,False,50000000.0,Downton Abbey: The Grand Finale,Q126164193,Downton Abbey: The Grand Finale,2025-09-12T00:00:00Z,,downton-abbey-3,3.48,49815.0,film/downton-abbey-the-grand-finale
46,Chainsaw Man - The Movie: Reze Arc,43438461.0,Oct 24,-,Sony Pictures Releasing,False,4000000.0,Chainsaw Man – The Movie: Reze Arc,Q123906765,Chainsaw Man - The Movie: Reze Arc,2025-10-29T00:00:00Z,,chainsaw-man-the-movie-reze-arc,4.35,577852.0,film/chainsaw-man-the-movie-reze-arc
47,The Amateur,40759635.0,Apr 11,Jun 12,20th Century Studios,False,60000000.0,The Amateur (2025 film),Q119206814,The Amateur,2025-04-11T00:00:00Z,,the-amateur-2025,2.88,247791.0,film/the-amateur-2025
48,The Monkey,39724909.0,Feb 21,-,Neon,False,10500000.0,The Monkey (film),Q124841936,The Monkey,2025-03-06T00:00:00Z,,the-monkey-2025,2.61,667787.0,film/the-monkey-2025
49,Song Sung Blue,39185290.0,Dec 25,-,Focus Features,False,30000000.0,Song Sung Blue (2025 film),Q130532687,Song Sung Blue,2025-12-25T00:00:00Z,,song-sung-blue-2025,3.3,117150.0,film/song-sung-blue-2025
50,The Running Man,37815641.0,Nov 14,-,Paramount Pictures,False,110000000.0,The Running Man (2025 film),Q125449414,The Running Man,2025-11-19T00:00:00Z,,the-running-man-2025,3.12,530335.0,film/the-running-man-2025
51,A Working Man,37000711.0,Mar 28,May 22,Amazon MGM Studios,False,40000000.0,A Working Man,Q125495342,A Working Man,2025-03-28T00:00:00Z,,levons-trade,2.36,131136.0,film/a-working-man
52,Materialists,36521973.0,Jun 13,-,A24,False,20000000.0,Materialists (film),Q125726790,Materialists,2025-09-04T00:00:00Z,,materialists,2.89,1376831.0,film/materialists
53,Den of Thieves: Pantera,36015016.0,Jan 10,-,Lionsgate,False,40000000.0,Den of Thieves 2: Pantera,,,,,,2.87,80683.0,film/den-of-thieves-2-pantera
54,The Long Walk,35163573.0,Sep 12,-,Lionsgate,False,20000000.0,The Long Walk (2025 film),Q126511469,The Long Walk,2025-11-21T00:00:00Z,,the-long-walk-2025,3.5,919230.0,film/the-long-walk-2025
55,Star Wars: Episode III - Revenge of the Sith20th anniversary,34107714.0,Apr 25,-,Walt Disney Studios Motion Pictures,False,113000000.0,,Q42051,Star Wars: Episode III – Revenge of the Sith,2025-04-24T00:00:00Z,905595947.0,star-wars-episode-iii-revenge-of-the-sith,,,
56,Taylor Swift: The Official Release Party of a Showgirl,34062774.0,Oct 3,-,AMC Theatres,False,,Taylor Swift: The Official Release Party of a Showgirl,,,,,,,,
57,I Know What You Did Last Summer,32165634.0,Jul 18,-,Sony Pictures Releasing,False,18000000.0,I Know What You Did Last Summer (2025 film),Q130368011,I Know What You Did Last Summer,2025-07-18T00:00:00Z,,i-know-what-you-did-last-summer-2025,2.36,390133.0,film/i-know-what-you-did-last-summer-2025
58,Gabby's Dollhouse: The Movie,32011820.0,Sep 26,-,Universal Pictures,False,32000000.0,Gabby's Dollhouse: The Movie,Q126414863,Gabby's Dollhouse: The Movie,2025-09-26T00:00:00Z,,gabbys-dollhouse-the-movie,2.58,7584.0,film/gabbys-dollhouse-the-movie
59,Smurfs,31075170.0,Jul 18,-,Paramount Pictures,False,58000000.0,Smurfs (film),Q124125148,Smurfs,2025-07-18T00:00:00Z,,smurfs,1.72,35963.0,film/smurfs
60,Heart Eyes,30415738.0,Feb 7,-,Sony Pictures Releasing,False,18000000.0,Heart Eyes,Q127163221,Heart Eyes,2025-02-07T00:00:00Z,,heart-eyes,2.75,276134.0,film/heart-eyes
61,Flight Risk,29783527.0,Jan 24,-,Lionsgate,False,25000000.0,Flight Risk (film),Q123353613,Flight Risk,2025-01-24T00:00:00Z,,flight-risk-2025,1.91,96130.0,film/flight-risk-2025
62,Warfare,26000309.0,Apr 11,-,A24,False,20000000.0,Warfare (film),Q125217247,Warfare,2025-04-18T00:00:00Z,,warfare,3.53,561844.0,film/warfare
63,Him,25009605.0,Sep 19,-,Universal Pictures,False,27000000.0,Him (2025 film),Q130410549,Him,2025-09-19T00:00:00Z,,him-2025,2.52,285493.0,film/him-2025
